Timestamp,Event,Value
1735576536.5270162,CAD operativo,25683
1735576536.5349748,CAD operativo,25691
1735576536.5429828,CAD operativo,25699
1735576536.5514464,CAD operativo,25708
1735576536.559453,CAD operativo,25716
1735576536.5679643,CAD operativo,25724
1735576536.5762022,CAD operativo,25733
1735576536.5845492,CAD operativo,25741
1735576536.5925138,CAD operativo,25749
1735576536.6005492,CAD operativo,25758
1735576536.609766,CAD operativo,25766
1735576536.6173983,CAD operativo,25774
1735576536.625631,CAD operativo,25782
1735576536.6344845,CAD operativo,25791
1735576536.6422465,CAD operativo,25799
1735576536.650274,CAD operativo,25807
1735576536.6593041,CAD operativo,25816
1735576536.667318,CAD operativo,25824
1735576536.6751502,CAD operativo,25832
1735576536.6841562,CAD operativo,25841
1735576536.6926568,CAD operativo,25849
1735576536.7005072,CAD operativo,25857
1735576536.7083921,CAD operativo,25866
1735576536.7176118,CAD operativo,25874
1735576536.7255023,CAD operativo,25882
1735576536.733999,CAD operativo,25890
1735576536.742098,CAD operativo,25899
1735576536.7504091,CAD operativo,25907
1735576536.7586212,CAD operativo,25915
1735576536.7676253,CAD operativo,25924
1735576536.7751045,CAD operativo,25932
1735576536.7841113,CAD operativo,25940
1735576536.791723,CAD operativo,25949
1735576536.8005865,CAD operativo,25957
1735576536.8082247,CAD operativo,25965
1735576536.816985,CAD operativo,25973
1735576540.2217221,Mensaje recibido,29375
1735576540.2270632,CAD operativo,29383
1735576540.2350807,CAD operativo,29391
1735576540.243823,CAD operativo,29400
1735576540.2512991,CAD operativo,29408
1735576540.2600121,CAD operativo,29416
1735576540.2683003,CAD operativo,29425
1735576540.2764971,CAD operativo,29433
1735576540.2851326,CAD operativo,29441
1735576540.293224,CAD operativo,29450
1735576540.301588,CAD operativo,29458
1735576540.3099475,CAD operativo,29466
1735576540.3180804,CAD operativo,29474
1735576540.3261194,CAD operativo,29483
1735576540.3351219,CAD operativo,29491
1735576540.342598,CAD operativo,29499
1735576540.3515997,CAD operativo,29508
1735576540.3594687,CAD operativo,29516
1735576540.3677714,CAD operativo,29524
1735576540.3755317,CAD operativo,29533
1735576540.3845322,CAD operativo,29541
1735576540.3929076,CAD operativo,29549
1735576540.4009116,CAD operativo,29557
1735576540.4093828,CAD operativo,29566
1735576540.417863,CAD operativo,29574
1735576540.425863,CAD operativo,29582
1735576540.435083,CAD operativo,29591
1735576540.4422927,CAD operativo,29599
1735576540.450294,CAD operativo,29607
1735576540.4590838,CAD operativo,29616
1735576540.4673,CAD operativo,29624
1735576540.4754622,CAD operativo,29632
1735576540.4838192,CAD operativo,29640
1735576540.4928193,CAD operativo,29649
1735576540.5010858,CAD operativo,29657
1735576540.508577,CAD operativo,29665
1735576540.518066,CAD operativo,29674
1735576540.5255487,CAD operativo,29682
